,SIC,Horizontal,"CAR(-1, +1)","CAR(-2, +2)",Crossborder,Cash,Leverage,Acquiror size,Date (years)
9562,3560,0,-0.057843,0.0442722,1,0,0.4655618,16479.885,2009
9563,3560,0,-0.013557,0.0024258,0,0,0.3503442,26309.387,2007
9564,3560,0,-0.00342,-0.012596,1,0,0.3425751,27516.268,2006
9565,3560,0,0.0057645,0.0470051,0,0,0.6839295,34070.084,2016
9566,3560,0,0.0110318,0.0169153,0,0,0.4116444,27322.699,2011
9567,3560,0,0.0257869,0.0183971,0,0,0.3629459,28604.233,2007
9568,3560,0,-0.006323,0.0058892,1,0,0.3976937,25855.597,2008
9569,3560,0,0.0013543,0.0016764,0,0,0.4489685,23737.413,2010
9570,3826,0,0.0953135,0.0800584,1,0,0.5219617,9161.723,2013
9571,3826,0,0.021241,0.0934246,1,0,0.5179396,4665.696,2008
9572,3826,0,0.0153251,0.0192266,0,0,0.4972692,5121.3,2012
9573,3826,0,0.0174906,0.0268239,1,1,0.4986782,5759.559,2012
9574,3826,0,0.0023755,0.0299368,1,0,0.3576933,8190.38,2011
9575,3826,0,0.0374149,0.017352,1,0,0.374309,5282.173,2010
9576,3826,0,-0.041004,-0.016325,1,0,0.4846645,21957.684,2014
9577,3826,0,0.0101401,-0.001915,1,0,0.50815,10113.513,2013
9578,3826,0,-0.068943,-0.052112,1,0,0.4986782,6434.469,2013
9579,6794,0,0.0261226,0.0743656,0,0,0.1495109,62.884,2010
9580,6794,0,0.0416819,-0.032102,0,0,0.069105,66.236,2007
9581,3572,0,-0.01077,-0.002777,1,0,0.3751399,438.751,2011
9582,3572,1,-0.003071,-0.020539,1,0,0.3521896,273.108,2011
9583,3572,1,-0.036551,-0.06249,0,0,0.3487984,354.53,2011
9584,3572,0,0.0190091,0.0001714,1,0,0.3074245,1419.688,2007
9585,3572,1,-0.105396,-0.129054,1,0,0.3350442,163.59,2012
9586,3572,0,-0.052206,-0.076349,1,0,0.3692083,215.732,2011
9587,3572,1,-0.072624,-0.047546,1,0,0.3521896,315.036,2011
9588,3572,0,-0.062017,-0.08756800000000001,0,0,0.3157134,1426.0,2007
9589,3572,0,-0.055487,-0.080566,1,0,0.3562489,980.213,2008
9590,2835,0,-0.248396,-0.189216,1,1,0.1827424,2036.167,2008
9591,6162,0,0.0009851,0.0316528,1,0,0.9952933,53.501,2014
9592,6162,1,0.0175355,-0.087385,1,0,0.9956112,70.77,2008
9593,2834,1,0.181457,0.1778084,1,1,0.1793189,1722.224,2014
9594,2060,0,0.0075189,0.0242839,1,0,0.4193025,159.147,2008
9595,7372,1,0.0191088,0.0320929,1,0,0.5114652,1341.533,2014
9596,7372,1,0.062604,0.0682504,0,1,0.5114652,1270.096,2014
9597,3829,0,0.4348118,0.4611327,1,0,0.4622726,10.076,2008
9598,2834,0,-0.015576,-0.072074,1,0,0.041241,48.341,2014
9599,2834,0,-0.028542,0.0173568,1,0,0.1711799,78.67,2014
9600,7372,1,0.0255047,-0.014367,1,0,0.4561132,328.866,2015
9601,3577,0,1.2692816,0.8665324,1,1,1.4843014,1.162,2009
9602,6321,0,-0.002901,-0.015229,1,0,0.814138,344.763,2006
9603,6321,0,0.00581,-0.017078,1,0,0.8040738,158.172,2011
9604,6321,0,-0.029544,0.0462015,1,1,0.7772519,260.949,2013
9605,6321,0,-0.028291,-0.070672,1,0,0.8191391,303.108,2006
9606,6798,1,0.0023909,0.0188285,1,0,0.629909,450.447,2015
9607,6798,0,0.0051535,0.0025382,1,0,0.6211785,255.435,2014
9608,6798,0,-0.008192,-0.021459,1,0,0.5909558,160.393,2014
9609,6798,0,0.0123026,0.0424035,1,0,0.5629617,244.083,2014
9610,6020,0,-0.05014,-0.057672,1,0,0.8920108,290.864,2014
9611,6020,0,-0.006498,-0.010095,1,0,0.9250086,535.883,2006
9612,6020,0,-0.016393,0.0016621,1,0,0.9056269,634.201,2012
9613,6020,0,0.0043291,0.0132689,1,0,0.9060368,708.2,2013
9614,6020,0,0.0064722,-0.00563,1,0,0.8930015,1134.61,2016
